Date;CutFlowers;PotOwn;PotPurchased;Wholesale;FruitsVegs;Commodity;mean_temp;mean_humid;mean_prec_height_mm;total_prec_height_mm;mean_prec_flag;total_prec_flag;mean_sun_dur_min;total_sun_dur_h;public_holiday;school_holiday
12.12.2016;12;0;0;0;0;0;5.208333333;89.125;0.008333333;0.2;0.5;True;1.722222222;0.688888889;no;no
13.12.2016;32;2.9;68.25;0;8.4;31.9;3.845833333;93.375;0.058333333;1.4;0.333333333;True;5.5;2.2;no;no
14.12.2016;140;0;5;0;9.35;126.55;4.670833333;99.41666667;0.0125;0.3;0.5;True;0;0;no;no
15.12.2016;126.9;0;61;0;6.9;72.7;3.570833333;90.54166667;0;0;0;False;1.555555556;0.622222222;no;no
16.12.2016;279.5;0;59.4;0;14.3;47.35;-0.345833333;82.83333333;0;0;0;False;11.33333333;4.533333333;no;no
17.12.2016;209;4;7.9;0;0;103.3;-1.091666667;92.91666667;0;0;0.083333333;True;0;0;no;no
18.12.2016;0;0;0;0;0;0;0.275;97.5;0.008333333;0.2;0.5;True;0;0;no;no
19.12.2016;83.7;0;73.5;0;3.3;137.42;0.154166667;94.58333333;0;0;0.083333333;True;0.722222222;0.288888889;no;no
20.12.2016;116.4;0;98.2;0;42.06;153.05;-3.104166667;90;0;0;0;False;17.16666667;6.866666667;no;no
21.12.2016;257.1;0;75.3;0;18.7;123.89;-1.520833333;93.125;0;0;0;False;0;0;no;no
22.12.2016;439.2;0;83.1;0;7.7;145.57;-0.891666667;91.58333333;0.058333333;1.4;0.208333333;True;0;0;no;no
23.12.2016;1088.55;0;203.8;0;38.89;126.7;0.758333333;99.33333333;0.016666667;0.4;0.5;True;0;0;no;no
24.12.2016;450.9;0;75.2;0;25.6;51.95;4.9375;89.5;0.033333333;0.8;0.333333333;True;1.722222222;0.688888889;no;no
25.12.2016;0;0;0;0;0;0;6.829166667;89.79166667;0.020833333;0.5;0.916666667;True;0;0;Erster Weihnachtstag;no
26.12.2016;0;0;0;0;0;0;6.6625;87.54166667;0.004166667;0.1;0.5;True;0;0;Zweiter Weihnachtstag;no
27.12.2016;45;0;38.7;0;5.88;25.4;4.208333333;77.875;0;0;0.625;True;0;0;no;no
28.12.2016;196;54.9;63.6;0;0.9;55.45;4.1375;84.58333333;0;0;0.25;True;0;0;no;no
29.12.2016;105;0;125.5;0;10.05;34.9;-0.083333333;92.75;0;0;0;False;21.11111111;8.444444444;no;no
30.12.2016;77.7;3;23;0;15.5;18.8;-3.6125;96.58333333;0;0;0.083333333;True;11.61111111;4.644444444;no;no
